Heure,Température,Hygrométrie
22 juin, 15h00,28,44
"22 juin, 16h00",27,48
"22 juin, 17h00",27,50
"22 juin, 18h00",27,53
"22 juin, 19h00",27,54
"22 juin, 20h00",26,58
"22 juin, 21h00",26,57
"22 juin, 22h00",26,58
"22 juin, 23h00",25,60
"23 juin, 00h00",24,63
"23 juin, 01h00",23,69
"23 juin, 02h00",23,70
"23 juin, 03h00",22,74
"23 juin, 04h00",22,76
"23 juin, 05h00",21,80
"23 juin, 06h00",21,83
"23 juin, 07h00",20,87
"23 juin, 08h00",21,83
"23 juin, 09h00",23,73
"23 juin, 10h00",25,62
"23 juin, 11h00",26,57
"23 juin, 12h00",27,54
"23 juin, 13h00",28,50
"23 juin, 14h00",29,47
"23 juin, 15h00",29,45
"23 juin, 16h00",29,44
"23 juin, 17h00",28,47
"23 juin, 18h00",28,47
"23 juin, 19h00",28,50
"23 juin, 20h00",28,51
"23 juin, 21h00",27,54
"23 juin, 22h00",26,58
"23 juin, 23h00",25,61
"24 juin, 00h00",24,65
"24 juin, 01h00",23,70
"24 juin, 02h00",22,74
"24 juin, 03h00",22,77
"24 juin, 04h00",21,81
"24 juin, 05h00",21,83
"24 juin, 06h00",20,88
"24 juin, 07h00",20,88
"24 juin, 08h00",21,84
"24 juin, 09h00",23,74
"24 juin, 10h00",24,69
"24 juin, 11h00",25,64
"24 juin, 12h00",26,60
"24 juin, 13h00",27,56
"24 juin, 14h00",28,53
,,